,survey_info_start_date,survey_info_end_date,survey_info_status,survey_info_ip_address,survey_info_progress,survey_info_duration,survey_info_finished,survey_info_recorded_date,survey_info_response_id,survey_info_last_name,survey_info_first_name,survey_info_email,survey_info_reference,survey_info_latitute,survey_info_longitude,survey_info_dist_channel,survey_info_language,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,inactive_state,inactive_institution_name,inactive_practice_setting,demographic_practice_list,demographic_role_list,demographic_years_in_practice,comments_text,demographic_distribution,quality_ambiguous_text,quality_ambiguous_questions,quality_straightlining_pct,quality_straightlining_questions,quality_unanswered_pct,quality_unanswered_questions,,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size,quality_unanswered_length
152,2023-07-31 09:54:34,2023-07-31 09:58:59,IP Address,5.180.208.146,100,264,True,2023-07-31 09:59:01,R_24pisG2hsqMH7ZY,,,,,33.7485,-84.3871,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Quite well,Slight effort,Moderately well,Extremely true,Extremely true,Often,Often,Moderately true,Quite confident,Quite willing,Quite willing,Extremely willing,Quite willing,Extremely willing,Moderately willing,Moderately willing,Quite willing,Quite willing,Quite willing,Slightly motivated,Moderately motivated,Moderately motivated,Quite motivated,Moderately motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Other'],,40,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
153,2023-07-31 10:03:05,2023-07-31 10:06:17,IP Address,98.240.80.27,100,192,True,2023-07-31 10:06:17,R_1H8k9rFMhAow3Wx,,,,,36.0048,-86.7886,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Not very well,Slight effort,Slightly well,Extremely true,Extremely true,Sometimes,Sometimes,Moderately true,Slightly confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Not at all motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Extremely motivated,Extremely motivated,,,,['Acute Care Surgery/Emergency General Surgery'],,15,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
154,2023-07-31 10:05:41,2023-07-31 10:12:21,IP Address,160.129.250.163,100,400,True,2023-07-31 10:12:22,R_3ew21VBTSFHvZfG,,,,,36.1315,-86.8019,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Slightly well,Not at a lot of effort,Slightly well,Quite true,Quite true,Often,Almost never,Moderately true,Quite confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Moderately motivated,Extremely motivated,Moderately motivated,Extremely motivated,Extremely motivated,Moderately motivated,Moderately motivated,Moderately motivated,Extremely motivated,,,,['Endocrine Surgery'],Department Chair,22,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
155,2023-07-31 10:14:45,2023-07-31 10:17:30,IP Address,166.137.19.4,100,165,True,2023-07-31 10:17:31,R_3qyqSUxKSDrEbv6,,,,,37.751,-97.822,anonymous,EN,Moderately critical,Moderately motivated,Quite a high priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Often,Almost never,Extremely true,Slightly confident,I am already doing this,Quite willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,I am unable to do this,Slightly willing,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Not at all motivated,Slightly motivated,Moderately motivated,Slightly motivated,Slightly motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),7,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
156,2023-07-31 10:20:31,2023-07-31 10:23:20,IP Address,160.129.250.163,100,169,True,2023-07-31 10:23:21,R_r3gOWTtVPw1MJNv,,,,,36.1315,-86.8019,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Moderately well,Not at a lot of effort,Not very well,Extremely true,Moderately true,Often,Almost never,Extremely true,Quite confident,I am already doing this,Moderately willing,Quite willing,Quite willing,I am already doing this,I am already doing this,Quite willing,I am already doing this,I am already doing this,I am already doing this,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Slightly motivated,,,,['Colon and Rectal Surgery'],,,,vanderbilt,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",Southeast,4,88,1
157,2023-07-31 10:19:08,2023-07-31 10:24:45,IP Address,160.129.251.200,100,336,True,2023-07-31 10:24:46,R_12EBfLJeD9sfTrj,,,,,36.1315,-86.8019,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Quite true,Sometimes,Often,Slightly true,Moderately confident,Quite willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Moderately willing,I am already doing this,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,['Colon and Rectal Surgery'],,2,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
158,2023-07-31 10:26:41,2023-07-31 10:30:35,IP Address,172.59.196.150,100,234,True,2023-07-31 10:30:36,R_2dEYSAy8XxvLP15,,,,,32.7797,-96.8022,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Slightly well,Moderately true,Quite true,Often,Sometimes,Slightly true,Not at all confident,Quite willing,Extremely willing,Quite willing,I am already doing this,Extremely willing,Quite willing,Quite willing,Quite willing,I am already doing this,I am already doing this,Not at all motivated,Not at all motivated,Moderately motivated,Not at all motivated,Moderately motivated,Not at all motivated,Slightly motivated,Moderately motivated,Moderately motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,2,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
159,2023-07-31 11:04:59,2023-07-31 11:26:57,IP Address,98.231.72.149,100,1318,True,2023-07-31 11:26:57,R_3EcBXpXxH3Fao16,,,,,30.237,-81.3884,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Moderately true,Moderately true,Often,Sometimes,Quite true,Moderately confident,Quite willing,Slightly willing,Quite willing,Moderately willing,Extremely willing,Quite willing,Slightly willing,Moderately willing,I am already doing this,Extremely willing,Quite motivated,Quite motivated,Extremely motivated,Extremely motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Trauma Surgery/Critical Care'],Program Director (or Assistant Program Director),,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID13,QID62",Southeast,4,88,1
160,2023-07-31 11:44:24,2023-07-31 11:48:58,IP Address,160.129.251.180,100,274,True,2023-07-31 11:48:58,R_29gNMwwmgJRX8z7,,,,,36.1579,-86.8608,anonymous,EN,Moderately critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Quite true,Almost always,Often,Slightly true,Quite confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Extremely willing,Extremely willing,Slightly willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Moderately motivated,Quite motivated,,,,['Vascular Surgery'],,25,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
161,2023-07-31 13:04:05,2023-07-31 13:15:39,IP Address,160.129.250.150,100,694,True,2023-07-31 13:15:40,R_eDUve5ckkd1fhpT,,,,,36.1315,-86.8019,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Slightly well,Not at a lot of effort,Not very well,Slightly true,Quite true,Sometimes,Sometimes,Extremely true,Not at all confident,Quite willing,Quite willing,Extremely willing,I am already doing this,Quite willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Slightly motivated,Extremely motivated,Quite motivated,Moderately motivated,Not at all motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Trauma Surgery/Critical Care'],,5,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
162,2023-07-31 13:11:46,2023-07-31 13:20:32,IP Address,160.129.250.163,100,525,True,2023-07-31 13:20:32,R_2X6FUofPy7MDhUg,,,,,36.1315,-86.8019,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Slightly well,Not at a lot of effort,Not very well,Extremely true,Slightly true,Often,Once in a while,Quite true,Extremely true,Quite willing,Moderately willing,I am already doing this,I am already doing this,I am already doing this,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Moderately motivated,Extremely motivated,Moderately motivated,Moderately motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),14,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
163,2023-07-31 13:28:10,2023-07-31 13:31:41,IP Address,160.129.250.142,100,211,True,2023-07-31 13:31:42,R_tJTpjTikzXsi5MZ,,,,,36.1315,-86.8019,anonymous,EN,Quite critical,Extremely motivated,Top priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Often,Sometimes,Extremely true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Extremely willing,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Quite motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,"['Breast Surgery', 'Surgical Oncology']",Program Director (or Assistant Program Director),8,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
164,2023-07-31 13:27:22,2023-07-31 13:32:52,IP Address,160.129.250.198,100,330,True,2023-07-31 13:32:52,R_3e9yDL1dsJXFnZo,,,,,36.1315,-86.8019,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Moderately well,Not at a lot of effort,Not very well,Extremely true,Quite true,Almost always,Sometimes,Extremely true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Quite willing,Quite willing,Extremely motivated,Moderately motivated,Extremely motivated,Moderately motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",,29,"would ask the question ""how motivated to make changes without specific rewards or recognition""  perhaps because it is the right thing to do....",vanderbilt,0,,0,0,,['0.02857142857142857'],QID1,Southeast,4,88,1
165,2023-07-31 14:04:44,2023-07-31 14:10:27,IP Address,206.208.217.36,100,342,True,2023-07-31 14:10:28,R_8BLDXpGMm0M3kw9,,,,,46.7952,-96.8332,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Often,Often,Slightly true,Slightly confident,Quite willing,Slightly willing,Not at all willing,Slightly willing,Extremely willing,Slightly willing,Moderately willing,Slightly willing,Slightly willing,Extremely willing,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Thoracic Surgery'],Department Chair,23,"In my opinion barriers to reduce open items or scrub table waste (eg unused instruments) come from surgeons demanding to have things open ""just in case"", even when rarely used.",und,0,,0,0,,['0'],,Midwest,8,11,1
166,2023-07-31 14:16:55,2023-07-31 14:26:31,IP Address,174.199.39.253,100,576,True,2023-07-31 14:26:32,R_2BfXzIypRtLQHZb,,,,,44.7601,-93.2748,anonymous,EN,Slightly critical,Moderately motivated,Moderate priority,Slightly well,Not at a lot of effort,Slightly well,Moderately true,Slightly true,Once in a while,Almost never,Slightly true,Slightly confident,Moderately willing,Slightly willing,Slightly willing,Slightly willing,Quite willing,Quite willing,Moderately willing,Quite willing,Quite willing,Quite willing,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery']",,12,,und,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,8,11,1
167,2023-07-31 17:03:41,2023-07-31 17:08:11,IP Address,76.122.207.218,100,269,True,2023-07-31 17:08:12,R_2xXW2g61RdKJFzu,,,,,36.1515,-86.792,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Often,Sometimes,Extremely true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,I am already doing this,I am already doing this,Slightly willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,,,,['Vascular Surgery'],Department Chair,30,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
168,2023-07-31 19:21:43,2023-07-31 19:25:02,IP Address,136.58.96.154,100,198,True,2023-07-31 19:25:02,R_a5cpvMWPsINsCIh,,,,,36.1579,-86.8608,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Quite true,Almost always,Once in a while,Slightly true,Slightly confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Colon and Rectal Surgery'],,7,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
169,2023-07-31 22:23:50,2023-07-31 22:30:59,IP Address,68.47.192.249,100,429,True,2023-07-31 22:31:00,R_Y30WD5Dz6Vpzmwh,,,,,36.1515,-86.792,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Quite well,Not at a lot of effort,Not very well,Moderately true,Moderately true,Often,Sometimes,Extremely true,Quite confident,Moderately willing,Moderately willing,Extremely willing,I am already doing this,Quite willing,Not at all willing,Slightly willing,I am already doing this,I am already doing this,Moderately willing,Slightly motivated,Not at all motivated,Quite motivated,Slightly motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Breast Surgery'],Program Director (or Assistant Program Director),7,"Some of my comments are influenced by inability to have accurate preference cards, processing issues we have experienced when switching to reusable products. If I knew these changes would be done in a safe/effective manor with an appropriately staffed sterile processing team (best case scenario) then my answers would differ. ",vanderbilt,0,,0,0,,['0'],,Southeast,4,88,1
170,2023-08-01 05:06:49,2023-08-01 05:09:35,IP Address,68.34.209.192,100,165,True,2023-08-01 05:09:35,R_1PTYJE13HVRVO61,,,,,36.1789,-86.8035,anonymous,EN,Slightly critical,Slightly motivated,Moderate priority,Slightly well,Not at a lot of effort,Slightly well,Extremely true,Quite true,Often,Sometimes,Slightly true,Not at all confident,Moderately willing,Quite willing,Quite willing,I am already doing this,Quite willing,Slightly willing,Slightly willing,Not at all willing,I am already doing this,Extremely willing,Extremely motivated,Slightly motivated,Extremely motivated,Slightly motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,,,,['Pediatric Surgery'],,4,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
171,2023-08-01 05:39:20,2023-08-01 05:43:31,IP Address,68.53.83.147,100,250,True,2023-08-01 05:43:31,R_2uzvZEJHAEqAKbv,,,,,36.1085,-86.7738,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Slightly true,Sometimes,Almost never,Quite true,Moderately confident,I am already doing this,Not at all willing,Moderately willing,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Quite willing,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Extremely motivated,Extremely motivated,Quite motivated,Quite motivated,Quite motivated,,,,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),10,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
172,2023-08-01 06:47:04,2023-08-01 06:52:38,IP Address,187.157.182.100,100,333,True,2023-08-01 06:52:39,R_3qmqyRyKqIQ1O3H,,,,,21.2494,-86.8379,anonymous,EN,Slightly critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Quite true,Slightly true,Sometimes,Sometimes,Moderately true,Slightly confident,Quite willing,Slightly willing,Extremely willing,Extremely willing,Quite willing,Moderately willing,Moderately willing,Moderately willing,I am already doing this,Extremely willing,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Not at all motivated,Not at all motivated,Moderately motivated,Not at all motivated,,,,['Surgical Oncology'],Program Director (or Assistant Program Director),8,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
173,2023-08-01 06:42:17,2023-08-01 06:54:31,IP Address,213.209.180.126,100,733,True,2023-08-01 06:54:32,R_uxkZThumLbhLE3L,,,,,40.6186,-73.9272,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Moderately well,Not at a lot of effort,Not very well,Extremely true,Quite true,Almost always,Almost never,Slightly true,Moderately confident,Extremely willing,Quite willing,Quite willing,Quite willing,Extremely willing,Quite willing,Extremely willing,I am already doing this,I am already doing this,Quite willing,Extremely motivated,Extremely motivated,Extremely motivated,Quite motivated,Extremely motivated,Quite motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",,1,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
176,2023-08-01 08:45:52,2023-08-01 08:50:11,IP Address,152.130.8.6,100,258,True,2023-08-01 08:50:11,R_UDPM1PtsBh56b8B,,,,,35.8677,-86.4174,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Slight effort,Slightly well,Quite true,Moderately true,Often,Often,Moderately true,Moderately confident,I am already doing this,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Moderately willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Quite motivated,Extremely motivated,Moderately motivated,Quite motivated,Slightly motivated,Slightly motivated,Moderately motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology', 'Transplant Surgery']",,35,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
179,2023-08-01 11:46:35,2023-08-01 11:49:39,IP Address,167.12.22.201,100,183,True,2023-08-01 11:49:39,R_dbX201lruYaENR7,,,,,40.5885,-75.4642,anonymous,EN,Moderately critical,Slightly motivated,Moderate priority,Slightly well,Not at a lot of effort,Moderately well,Moderately true,Quite true,Almost never,Often,Moderately true,Slightly confident,Moderately willing,Moderately willing,Not at all willing,Moderately willing,Moderately willing,Not at all willing,Slightly willing,I am already doing this,I am already doing this,Moderately willing,Extremely motivated,Not at all motivated,Extremely motivated,Not at all motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,4,,lehigh,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,3,55,1
180,2023-08-01 11:46:16,2023-08-01 11:50:35,IP Address,160.129.250.150,100,258,True,2023-08-01 11:50:35,R_1LS8kD0CLZ0kDm1,,,,,36.1315,-86.8019,anonymous,EN,Quite critical,Extremely motivated,Quite a high priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Quite true,Sometimes,Sometimes,Quite true,Quite confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am unable to do this,Extremely willing,Quite willing,Slightly motivated,Moderately motivated,Moderately motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Pediatric Surgery', 'Trauma Surgery/Critical Care']",,18,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
182,2023-08-01 13:00:38,2023-08-01 13:04:02,IP Address,136.58.38.118,100,203,True,2023-08-01 13:04:02,R_2OGzV95EloMXu6K,,,,,37.751,-97.822,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Slight effort,Not very well,Quite true,Slightly true,Often,Almost never,Extremely true,Slightly confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Slightly motivated,Not at all motivated,Moderately motivated,,,,['Vascular Surgery'],Program Director (or Assistant Program Director),17,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
183,2023-08-01 13:48:59,2023-08-01 13:52:10,IP Address,206.208.217.30,100,190,True,2023-08-01 13:52:11,R_QhNnooIIztQ2ZlD,,,,,43.5229,-96.786,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Slightly well,Slight effort,Moderately well,Moderately true,Slightly true,Often,Sometimes,Not at all true,Moderately confident,Quite willing,Moderately willing,Moderately willing,Slightly willing,Extremely willing,Quite willing,Quite willing,Extremely willing,I am already doing this,Extremely willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,,,,['Acute Care Surgery/Emergency General Surgery'],,5,,und,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,8,11,1
185,2023-08-01 20:28:17,2023-08-01 20:33:31,IP Address,76.22.231.137,100,314,True,2023-08-01 20:33:32,R_SAGjKHTTYgM0vap,,,,,36.0048,-86.7886,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Quite well,Not at a lot of effort,Not very well,Extremely true,Moderately true,Almost always,Sometimes,Extremely true,Quite confident,I am already doing this,Extremely willing,Moderately willing,I am already doing this,Extremely willing,Quite willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Abdominal Wall/Hernia Surgery'],Program Director (or Assistant Program Director),9,,vanderbilt,0,,0,0,,['0.02857142857142857'],QID13,Southeast,4,88,1
190,2023-08-02 11:22:48,2023-08-02 12:22:02,IP Address,66.230.9.145,100,3554,True,2023-08-02 12:22:03,R_1LIIasb1kfIw4qo,,,,,33.5716,-101.8545,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Extremely true,Often,Once in a while,Slightly true,Moderately confident,Quite willing,Quite willing,Quite willing,Quite willing,Quite willing,Moderately willing,Extremely willing,Quite willing,Extremely willing,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Quite motivated,Slightly motivated,Quite motivated,Quite motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery', 'Endocrine Surgery', 'Surgical Oncology']",,1,,texastech,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southwest,6,27,1
192,2023-08-03 11:15:53,2023-08-03 11:18:10,IP Address,206.208.217.37,100,137,True,2023-08-03 11:18:11,R_10UaOW7xBXiXL5G,,,,,46.7952,-96.8332,anonymous,EN,Slightly critical,Slightly motivated,Low priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Once in a while,Often,Slightly true,Not at all confident,Moderately willing,Quite willing,Not at all willing,Quite willing,Moderately willing,Slightly willing,Moderately willing,Slightly willing,Slightly willing,Not at all willing,Slightly motivated,Not at all motivated,Slightly motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,Not at all motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),15,,und,0,,0,0,,['0.02857142857142857'],QID13,Midwest,8,11,1
193,2023-08-03 13:43:14,2023-08-03 13:47:35,IP Address,99.64.48.35,100,260,True,2023-08-03 13:47:35,R_2wssCIKRbWQ9ViV,,,,,33.5504,-101.8871,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Moderately well,Moderate effort,Moderately well,Extremely true,Extremely true,Sometimes,Often,Not at all true,Extremely true,I am already doing this,I am already doing this,Not at all willing,Not at all willing,I am already doing this,I am already doing this,Extremely willing,I am unable to do this,Extremely willing,I am already doing this,Extremely motivated,Moderately motivated,Extremely motivated,Moderately motivated,Extremely motivated,Moderately motivated,Moderately motivated,Moderately motivated,Extremely motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,10,,texastech,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southwest,6,27,1
194,2023-08-03 17:58:34,2023-08-03 19:05:57,IP Address,172.58.57.46,100,4043,True,2023-08-03 19:05:58,R_2X0aiqb8m6fm8da,,,,,38.5774,-90.6709,anonymous,EN,Moderately critical,Slightly motivated,Moderate priority,Slightly well,Slight effort,Slightly well,Extremely true,Extremely true,Often,Sometimes,Quite true,Slightly confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Not at all willing,Slightly willing,Quite willing,Extremely willing,Slightly motivated,Slightly motivated,Moderately motivated,Not at all motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Trauma Surgery/Critical Care'],,3,,texastech,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southwest,6,27,1
195,2023-08-04 05:34:32,2023-08-04 05:39:41,IP Address,67.187.100.39,100,309,True,2023-08-04 05:39:42,R_1d9QPuh2BwiqvWE,,,,,36.1579,-86.8608,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Not at all true,Quite true,Almost always,Sometimes,Quite true,Slightly confident,Slightly willing,Extremely willing,Quite willing,Extremely willing,I am already doing this,Moderately willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Slightly motivated,Quite motivated,Quite motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Pediatric Surgery'],Program Director (or Assistant Program Director),21,Good effort.,vanderbilt,0,,0,0,,['0'],,Southeast,4,88,1
