,survey_info_response_id,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,demographic_distribution_x,demographic_practice_list,demographic_role_list,demographic_years_in_practice,demographic_distribution_y,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size
194,R_2P1D7JgWN7XRNKt,3,4,4,3,2,2,4,2,4,4,4,2,3,1,3,2,5,3,2,3,5,4,5,5,5,5,1,1,3,2,1,texastech,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery']",Program Director (or Assistant Program Director),35,texastech,Southwest,6,27
195,R_3EGajxIKH3YTubJ,2,2,3,3,1,1,4,4,5,1,3,2,4,4,4,4,3,3,2,5,4,3,1,3,1,2,2,2,2,2,3,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery']",Department Chair,33,lahey,Northeast,1,38
196,R_2OQ5s6sOHgYS7E2,3,3,3,3,1,2,4,4,3,4,2,3,5,5,4,4,4,3,3,2,1,5,3,3,4,4,2,2,2,2,2,washu,['Colon and Rectal Surgery'],,1,washu,Midwest,7,99
197,R_3r0BFqeVcWKjckD,2,3,3,3,1,2,5,3,2,4,2,2,3,3,1,3,4,4,3,5,3,5,3,3,3,3,3,3,3,3,3,washu,['Transplant Surgery'],,1,washu,Midwest,7,99
198,R_3nTmUri7WoL1aOw,5,5,4,3,2,2,5,5,3,4,2,5,5,5,3,4,5,2,5,5,5,5,2,3,1,2,1,2,3,3,3,washu,"['Abdominal Wall/Hernia Surgery', 'Endocrine Surgery']",,26,washu,Midwest,7,99
199,R_29n8yBcCnzGAbOs,4,3,3,1,1,1,4,4,3,1,5,1,4,5,4,5,5,4,1,5,5,1,4,3,3,4,3,3,3,3,4,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),22,lahey,Northeast,1,38
200,R_ThcMkgoJj9g2Vax,4,3,4,1,1,1,4,5,5,4,4,2,4,4,3,5,5,4,1,5,5,1,2,2,4,2,3,1,2,2,3,lahey,['Vascular Surgery'],Department Chair,35,lahey,Northeast,1,38
201,R_2dvbzONLMKjJHgn,4,4,4,1,1,1,5,5,2,4,3,2,4,4,3,2,5,4,4,5,5,5,4,4,5,5,3,2,3,3,3,washu,['Transplant Surgery'],,1,washu,Midwest,7,99
202,R_21aCwJ1qjBp6tRL,4,4,4,3,1,1,2,4,5,2,5,5,5,5,5,4,4,4,2,1,2,2,4,4,4,4,4,2,1,1,1,cornell,['Pediatric Surgery'],,15,cornell,Northeast,2,49
203,R_xfkBbyTOTvXvcIh,5,5,4,4,2,1,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,cornell,['Trauma Surgery/Critical Care'],Program Director (or Assistant Program Director),16,cornell,Northeast,2,49
204,R_2abh38siOVu9F56,3,3,3,5,3,1,2,2,2,2,2,1,3,4,2,2,5,3,5,5,3,2,5,5,5,5,5,2,2,2,2,cornell,['Vascular Surgery'],,,cornell,Northeast,2,49
205,R_1n7qfYsJ2A127iX,3,4,3,3,2,2,3,2,2,3,1,3,4,3,3,4,4,5,4,5,4,3,2,2,2,2,1,1,1,2,1,cornell,['Colon and Rectal Surgery'],,30,cornell,Northeast,2,49
206,R_RmqehIh3UYZhHiN,5,5,5,1,3,1,1,1,5,5,5,5,5,5,1,5,5,1,1,5,5,5,5,5,5,5,5,3,5,4,5,northwestern,['Trauma Surgery/Critical Care'],Program Director (or Assistant Program Director),,northwestern,Midwest,5,58
207,R_2OUvgi79qekuNbJ,3,4,3,4,1,3,4,4,1,4,3,3,4,4,3,3,4,3,4,5,5,5,5,2,5,2,1,1,1,1,1,cornell,['Plastics Surgery'],Program Director (or Assistant Program Director),12,cornell,Northeast,2,49
208,R_3QKrtQnVePoaoZA,4,3,4,2,1,1,5,5,4,1,5,2,5,4,5,5,5,4,5,5,5,5,5,4,5,5,3,1,2,2,3,virginiamason,['Colon and Rectal Surgery'],,5,virginiamason,West,10,24
209,R_3CDvHm3ifyUhxdp,4,4,3,1,1,1,3,3,5,4,2,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,virginiamason,['Breast Surgery'],,38,virginiamason,West,10,24
210,R_2Xd51UnstLGVrjL,5,5,4,5,1,1,5,5,4,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,virginiamason,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology']",Department Chair,30,virginiamason,West,10,24
211,R_2cB1TcCWdgs0y6L,3,3,2,2,2,2,4,4,4,3,3,4,4,4,4,4,5,5,5,1,4,4,5,5,5,5,5,5,3,5,5,texastech,['Other'],,35,texastech,Southwest,6,27
212,R_2BqHlt22LZTvwgH,5,3,4,2,2,2,4,3,4,3,2,3,2,5,5,4,5,4,5,3,5,3,5,5,5,2,2,4,3,3,3,virginiamason,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,5,virginiamason,West,10,24
213,R_3k0Mxhl0GqzW01Q,3,4,4,3,1,2,4,2,5,4,3,2,3,2,4,5,5,4,4,5,5,5,5,4,5,5,3,2,3,2,4,vanderbilt,['Abdominal Wall/Hernia Surgery'],,13,vanderbilt,Southeast,4,88
214,R_2xFw2cSsA2sLfdj,5,5,4,2,2,2,3,4,4,3,3,3,1,4,5,5,5,5,5,5,5,5,4,4,4,4,4,2,3,3,3,virginiamason,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),22,virginiamason,West,10,24
215,R_1IyO5XPbBJFqiDC,3,3,3,3,3,2,1,1,4,4,1,4,2,1,3,1,4,1,2,2,5,3,4,3,5,1,1,1,1,1,1,ucsf,['Surgical Oncology'],,,ucsf,West,9,123
216,R_238qfu07MfvEdH3,5,5,4,3,1,2,5,5,1,4,3,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,2,1,1,1,2,washu,"['Cardiac Surgery', 'Other']",Program Director (or Assistant Program Director),22,washu,Midwest,7,99
217,R_1eOCl7AeWLd41Yt,3,3,3,3,1,1,1,1,4,3,3,3,3,3,3,3,4,3,4,1,5,5,5,4,5,4,5,1,1,1,1,northwestern,['Trauma Surgery/Critical Care'],,13,northwestern,Midwest,5,58
218,R_xtj6kSyUbUDql7r,4,4,4,1,1,1,5,5,5,3,5,3,5,5,5,5,5,4,5,5,2,5,4,4,5,3,1,2,1,1,1,northwestern,"['Abdominal Wall/Hernia Surgery', 'Plastics Surgery']",Department Chair,25,northwestern,Midwest,5,58
219,R_3HUebyczQyM05mV,3,2,2,3,2,2,5,5,2,3,2,1,5,5,2,5,5,3,4,1,5,5,1,1,1,2,1,1,1,1,1,northwestern,['Colon and Rectal Surgery'],,13,northwestern,Midwest,5,58
220,R_3p4OgeusRkyKJC4,5,5,5,3,1,1,3,3,5,3,5,3,5,5,5,5,5,3,3,4,5,3,5,5,5,5,3,1,1,1,1,northwestern,['Breast Surgery'],,20,northwestern,Midwest,5,58
221,R_VW3yMx7UXlvV34R,4,4,4,3,1,1,4,3,3,4,4,1,4,4,5,5,4,4,5,5,5,5,5,4,3,4,5,2,2,2,2,northwestern,['Cardiac Surgery'],,,northwestern,Midwest,5,58
222,R_3J9r4IvIy66tBhV,4,4,3,2,1,1,4,4,4,3,3,3,3,3,3,5,5,5,5,4,5,5,5,5,5,3,3,2,2,2,2,northwestern,['Endocrine Surgery'],,20,northwestern,Midwest,5,58
223,R_1GTdv6npombGjSm,4,4,4,1,2,1,4,3,4,3,4,3,5,5,2,3,4,4,5,5,5,5,5,5,5,5,5,3,3,3,2,northwestern,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),8,northwestern,Midwest,5,58
224,R_2YJ0UWuTolREwAb,4,3,4,1,1,1,5,5,5,1,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,northwestern,['Transplant Surgery'],"Department Chair,Program Director (or Assistant Program Director)",12,northwestern,Midwest,5,58
225,R_QcOxkjNgaHiGIg1,4,5,5,2,1,1,4,4,4,2,4,3,5,4,4,5,4,5,5,5,5,2,3,3,5,3,2,2,3,3,3,northwestern,['Breast Surgery'],,32,northwestern,Midwest,5,58
226,R_1EWpWWDYsCmwx8v,3,4,3,2,2,1,4,3,4,4,2,3,4,5,5,5,5,4,3,4,5,3,2,3,3,3,1,1,2,2,2,northwestern,['Colon and Rectal Surgery'],,31,northwestern,Midwest,5,58
227,R_PCEtQ1TO25SUCXv,2,3,3,1,1,1,5,4,3,4,3,2,4,4,5,5,5,3,5,5,2,2,5,3,5,4,3,1,1,1,1,northwestern,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",,6,northwestern,Midwest,5,58
228,R_3yEntaGLn9D8mIN,5,5,4,3,1,1,3,4,4,3,5,2,5,5,5,5,5,4,5,5,4,4,4,5,4,5,2,1,1,4,2,northwestern,['Breast Surgery'],,30,northwestern,Midwest,5,58
229,R_1NzuIhUY1MaqFFl,4,4,4,1,1,1,4,4,4,3,4,2,5,5,5,5,5,5,5,5,5,5,1,4,1,5,1,2,1,3,3,northwestern,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),32,northwestern,Midwest,5,58
230,R_8CEZCL8jPSQBC1j,2,2,2,2,1,1,5,4,4,3,1,1,5,5,5,5,5,4,3,5,5,5,1,3,1,3,3,2,4,4,4,northwestern,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Department Chair,23,northwestern,Midwest,5,58
231,R_3LXyOCJD89Dne6c,4,3,4,1,1,2,4,4,4,2,3,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,4,4,4,northwestern,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,1,northwestern,Midwest,5,58
232,R_12rwYCPM55WQVJA,4,4,4,1,1,1,4,4,4,1,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,virginiamason,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),2,virginiamason,West,10,24
233,R_6x6nyNWPgiwoo2B,4,4,4,4,1,1,5,5,4,1,5,3,5,5,5,5,5,2,5,5,5,5,5,4,5,4,5,4,4,4,5,virginiamason,"['Abdominal Wall/Hernia Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology']",Program Director (or Assistant Program Director),32,virginiamason,West,10,24
234,R_3NHQ5DNvN0vBPDY,5,5,4,5,3,3,4,4,5,3,4,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,virginiamason,['Abdominal Wall/Hernia Surgery'],,3,virginiamason,West,10,24
235,R_3n3ihzImRtyUSlA,4,4,4,4,3,4,5,3,2,5,5,4,5,5,1,5,5,5,5,5,5,4,5,5,5,3,1,1,1,1,1,virginiamason,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Hepatopancreaticobiliary Surgery', 'Vascular Surgery', 'Transplant Surgery', 'Other']",,10,virginiamason,West,10,24
236,R_3256iXRAW6T68YV,5,3,4,4,1,2,3,3,5,3,4,3,4,4,5,5,5,3,4,3,4,3,4,4,4,3,4,3,3,3,3,virginiamason,['Plastics Surgery'],,15,virginiamason,West,10,24
237,R_1dF7UgUeUGWovLZ,3,3,4,3,1,2,4,4,1,4,4,3,5,5,3,5,3,1,2,1,3,5,4,2,3,1,2,2,1,1,2,lehigh,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery']",Program Director (or Assistant Program Director),,lehigh,Northeast,3,55
238,R_BS1ZehVXZKWIKv7,3,3,3,1,3,1,4,4,3,3,2,4,5,5,5,5,5,3,1,5,5,5,5,5,5,2,3,1,2,2,4,lehigh,['Trauma Surgery/Critical Care'],,25,lehigh,Northeast,3,55
239,R_1Cm9yIGMYwVkuSe,5,5,5,3,2,1,4,4,4,1,3,5,4,4,2,4,5,4,5,4,5,3,5,5,5,3,3,2,2,2,1,lehigh,"['Abdominal Wall/Hernia Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology', 'Transplant Surgery']",Program Director (or Assistant Program Director),11,lehigh,Northeast,3,55
240,R_xEZj3pUGXDMZIfT,5,5,4,1,1,1,4,4,4,3,4,2,5,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,3,3,3,lehigh,['Pediatric Surgery'],Program Director (or Assistant Program Director),7,lehigh,Northeast,3,55
241,R_OkFgYjnWV7vLdmx,5,5,4,4,1,3,3,4,4,1,1,4,5,5,5,5,5,2,5,5,5,5,2,2,2,2,3,3,2,2,3,virginiamason,['Colon and Rectal Surgery'],,28,virginiamason,West,10,24
242,R_2UWpCS5RBPaA3Iv,3,4,3,5,2,2,4,5,4,4,5,2,4,4,1,5,5,3,2,5,5,5,2,2,4,4,5,2,2,4,5,lehigh,"['Acute Care Surgery/Emergency General Surgery', 'Pediatric Surgery', 'Plastics Surgery']",,22,lehigh,Northeast,3,55
243,R_2ZK4wuIarxnJyB9,3,4,5,3,1,3,4,2,5,4,5,5,4,2,1,1,1,1,1,2,4,2,3,3,4,2,3,2,3,3,3,lehigh,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Trauma Surgery/Critical Care']",,12,lehigh,Northeast,3,55
244,R_3g11P1lUjVkrlvn,4,4,4,2,1,1,5,4,4,3,1,2,5,3,2,4,4,2,4,5,5,4,4,4,4,4,4,4,4,4,4,northwestern,['Thoracic Surgery'],,2.5,northwestern,Midwest,5,58
245,R_qCakSsa3qVx6bYd,5,5,4,4,1,2,4,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,northwestern,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Hepatopancreaticobiliary Surgery', 'Vascular Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),4,northwestern,Midwest,5,58
246,R_7NUyXyZ1p76BYad,3,3,2,1,1,1,5,4,4,3,1,1,5,5,5,5,5,5,3,5,5,5,2,3,4,4,3,1,3,5,3,northwestern,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Department Chair,23,northwestern,Midwest,5,58
